127.0.0.1 - - [21/Aug/2022:14:17:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/ HTTP/1.1" 200 27218
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/table.css HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/modal.css HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/betty.css HTTP/1.1" 200 2650
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/bootstrap.css HTTP/1.1" 200 207909
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/plyr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/owl.carousel.css HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/slicknav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/style.css HTTP/1.1" 200 42091
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/css/pjs.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/js/player.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/js/mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/js/modal.js HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [21/Aug/2022:14:17:47 +0900] "GET /c/resources/js/sidebar.js HTTP/1.1" 304 -
